;Food ;Mines;Oil  ;Clths;Durbl;Chems;Cnsum;Cnstr;Steel;FabPr;Machn;Cars ;Trans;Utils;Rtail;Finan;Other
197511;0,024305314;-0,022241283;-0,025794535;NaN;0,022691225;0,017293914;0,047066421;0,002463197;0,007807752;NaN;0,036231105;0,034506137;0,009051664;0,025209483;0,042382539;0,059431122;0,043265437
197512;-0,026585672;0,016358169;0,000400657;NaN;-0,024805721;-0,004881942;-0,063326315;0,000123362;0,029902986;NaN;-0,015072975;0,010770782;0,000220421;0,009242998;-0,048608439;-0,010209304;-0,022861376
197601;0,075890921;0,157645196;0,062247659;NaN;0,136689872;0,193365349;0,060116392;0,151268943;0,203482912;NaN;0,161543859;0,11772421;0,130348667;0,073533766;0,042674614;0,100737893;0,12330908
197602;-0,057633643;-0,010814701;-0,04271372;NaN;-0,024741413;0,011593681;-0,068381286;0,012727972;0,023179997;NaN;0,000156662;0,048074554;0,034785099;-0,049865272;0,036658866;0,00839541;-0,002626492
197603;0,005849498;0,058865431;0,076621306;NaN;0,012648125;-0,04291778;0,061490294;0,010984246;-0,016128439;NaN;0,016811072;0,058568526;-0,005031952;0,014586023;0,041059166;0,050356777;0,02049258
197604;-0,016298324;0,015561534;0,013317387;NaN;-0,059922652;-0,000263559;-0,040147275;0,014561784;0,017497002;NaN;-0,029524161;0,017784081;0,009344525;-0,002127327;-0,058048569;-0,036706443;-0,004023783
197605;-0,006178396;0,042110122;0,057327688;NaN;-0,035327968;-0,031124549;-0,026711169;-0,047101251;-0,005514942;NaN;0,00684243;-0,02915531;0,032049184;-0,015694747;-0,069132361;-0,034114883;-0,028772166
197606;0,055298795;0,036384334;0,048745088;NaN;0,050473556;-0,015655944;0,044741761;0,002612166;0,043900605;NaN;0,07142434;0,011581804;0,064438374;0,037444084;0,003945143;0,073507719;0,023456651
197607;0,016299565;-0,041019256;-0,007157803;NaN;-0,040797944;-0,032075129;-0,004454699;-0,040843588;-0,040736817;NaN;-0,032478788;-0,009464398;-0,035861752;0,023933894;-0,032036161;-0,003846951;-0,001694975
197608;-0,002847456;-0,029809914;-0,007586617;NaN;-0,010355306;-0,040274134;0,014821864;-0,017799024;-0,03834108;NaN;-0,016768211;-0,00694408;-0,018944025;0,025314344;0,059787521;-0,012819024;0,017846406
197609;-0,00243971;0,010588502;0,05622982;NaN;-0,016112752;-0,004295355;0,029366647;-0,000505452;0,021525735;NaN;0,014469123;0,061724676;0,01817256;0,037552931;-0,006207655;-0,004389469;0,019189064
