Food ;Mines;Oil  ;Clths;Durbl;Chems;Cnsum;Cnstr;Steel;FabPr;Machn;Cars ;Trans;Utils;Rtail;Finan;Other
0,246889719;NaN;0,692910854;NaN;0,615908127;0,555369654;0,193137395;0,480739682;0,810962085;NaN;0,458660385;1,105191943;0,731702577;1,058763508;0,354399596;0,676855993;0,453081087
0,251794308;NaN;0,706344641;NaN;0,5606122;0,598958208;0,187437678;0,354386881;0,956292892;NaN;0,497071292;1,123880907;0,764853704;1,083541547;0,354499879;0,749589579;0,489731156
0,251881485;NaN;0,649998546;NaN;0,623088672;0,593951943;0,181559343;0,334268173;0,854652111;NaN;0,504891283;1,170972399;0,776942003;1,089917252;0,371760931;0,771153949;0,509698759
0,267630674;NaN;0,660575184;NaN;0,648073803;0,698109034;0,195821815;0,370024345;0,918757758;NaN;0,576392812;1,356551904;0,843103874;1,175769393;0,42586134;0,852948669;0,565802163
0,267458607;NaN;0,680094802;NaN;0,696750753;0,742710867;0,203010938;0,402439208;0,973314471;NaN;0,617106183;1,52541261;0,9698763;1,168149099;0,466116257;0,922251905;0,571986647
0,255335787;NaN;0,700520754;NaN;0,715425348;0,726502207;0,197722487;0,421560849;NaN;NaN;0,648681702;1,548486428;0,968867016;1,078275103;0,474839811;0,929161499;0,565755432
0,24357991;NaN;0,69774806;NaN;0,654607769;0,667171302;0,182969923;0,381751022;NaN;NaN;0,595640291;1,539463494;0,9083523;1,071944454;0,420964218;0,821438856;0,548249046
0,233596796;NaN;0,708352561;NaN;0,642662878;0,646832394;0,17917644;0,368211867;1,033952254;NaN;0,571465872;1,593855663;0,880744245;1,050036289;0,413007192;0,782046842;0,53872322
0,226124365;NaN;0,722956242;NaN;0,589867226;0,614394686;0,17698728;0,34433759;0,953935889;NaN;0,512896572;1,510539327;0,810329886;1,079158311;0,36511847;0,730909622;0,520499454
0,202614004;NaN;0,674673237;0,240298029;0,557452116;0,58924158;0,163326885;0,307762371;0,924620775;NaN;0,486749902;1,37742061;0,802429115;1,04048524;0,342566029;0,693816476;0,498442593
0,198631292;NaN;0,663641171;0,239881524;0,544081972;0,606365504;0,15878322;0,312870356;0,92297689;NaN;0,498572459;1,401303187;0,807255754;1,017830413;0,313514725;0,654384748;0,483552086
0,204957964;NaN;0,641714127;0,232299742;0,570931509;0,576482204;0,160173473;0,3163826;0,887052192;NaN;0,514450371;1,434654547;0,795914021;1,026432379;0,307405185;0,670789091;0,480960306
0,19691386;NaN;0,665426574;NaN;0,540793982;0,531615037;0,154424053;0,289397879;0,879854087;NaN;0,48366184;1,250605667;0,782084137;1,049338619;0,283425059;0,637009659;0,475523389
0,242095718;NaN;0,712421543;NaN;0,601415671;0,576436494;0,183868154;0,251784552;0,985109878;NaN;0,569945646;1,161387542;0,818052942;1,080507421;0,306341613;0,722111444;0,516928882
0,221853649;NaN;0,673299133;NaN;0,582917419;0,5419506;0,171195001;0,234822179;0,915398262;NaN;0,557253148;1,180894247;0,809533615;1,034237979;0,28949789;0,697050463;0,498984926
0,20587665;NaN;0,674484783;0,278433471;0,549099164;0,543446422;0,167023039;0,211738077;0,922876142;NaN;0,566116502;1,240339045;0,801137119;1,008396946;0,27464223;0,674365785;0,486854905
0,214707927;NaN;0,678792785;0,269852812;0,54786505;0,561291437;0,168783501;0,224919078;0,965342606;NaN;0,584862749;1,278428924;0,781902773;0,967579762;0,286539881;0,666444636;0,48365018
0,214736298;NaN;0,666024888;0,306956756;0,509331328;0,535052116;0,161321156;0,213205433;0,97175629;NaN;0,590576774;1,341183728;0,740656608;0,954989117;0,297967757;0,66064244;0,466471956
0,214829392;NaN;0,727460655;0,298935888;0,513020445;0,582744326;0,162939036;0,215465858;1,074269331;NaN;0,630314034;1,485095728;0,796563276;0,939860237;0,298195246;0,674815339;0,492098496
0,182545764;NaN;0,704565341;0,249331025;0,463252233;0,530564322;0,141335788;0,195833681;0,99459283;NaN;0,57182522;1,390079244;0,715193844;0,893136587;0,261900117;0,578147843;0,42985873
0,195356052;NaN;0,741041698;0,268521656;0,447565894;0,535118009;0,149211092;0,204293803;0,981869096;NaN;0,552471457;1,262711111;0,725949575;0,951048349;0,262454911;0,619578016;0,44173572
0,19330862;NaN;0,749365117;0,268222876;0,462695325;0,520995761;0,151281616;0,203965983;0,905869547;NaN;0,538101648;1,109982165;0,717700877;0,970988606;0,257979686;0,606590647;0,43845151
0,195075439;NaN;0,772041402;0,26347871;0,490983883;0,511908298;0,159432515;0,229317936;0,896389478;NaN;0,554473639;1,095245118;0,732056021;0,978627532;0,262780497;0,569157273;0,447151037
0,19476903;NaN;0,706953389;0,272877137;0,490057915;0,484483343;0,157023908;0,224252747;0,831051587;NaN;0,545660264;0,976770702;0,687555179;0,952748128;0,269200184;0,558423537;0,436850363
0,191117531;NaN;0,692583482;0,277337088;0,484255486;0,487602394;0,158911599;0,209625004;0,822664813;NaN;0,549440409;0,995691779;0,687587888;0,934939607;0,270231617;0,552092938;0,439779875
0,219363459;NaN;0,697456333;0,341264784;0,476604668;0,516037295;0,200165053;0,263712492;0,824972288;NaN;0,523749884;0,810990355;0,695675957;0,943018304;0,308084754;0,620011421;0,468133588
0,208659609;NaN;0,668430234;0,312853625;0,462764578;0,501870374;0,188895721;0,247007772;0,739757284;NaN;0,521511606;0,827617452;0,685076942;0,870622298;0,298944722;0,614088221;0,449454585
0,205145928;NaN;0,656984469;0,307250867;0,467661787;0,528070319;0,195569653;0,243358582;0,924799151;NaN;0,555617202;0,929758092;0,718106816;0,887668264;0,297603317;0,626385802;0,44509318
0,205468405;NaN;0,657205248;0,287129869;0,450530804;0,518321647;0,202804159;0,235747419;0,899502156;NaN;0,537438647;0,946407042;0,718898209;0,89518386;0,285479013;0,602322761;0,434416019
0,20704883;NaN;0,683716397;0,283801663;0,453400585;0,5224223;0,198939295;0,229497667;0,795004045;NaN;0,557732654;0,967739843;0,697358529;0,90360952;0,276555653;0,595788732;0,431271076
0,204551296;NaN;0,709827262;0,25804291;0,434302682;0,511994612;0,194849437;0,22575808;0,75239734;NaN;0,530239036;0,856170246;0,668276659;0,904810465;0,259498496;0,559500017;0,411085914
0,203997079;NaN;0,694365531;0,263449755;0,441400964;0,509502418;0,198924694;0,222331919;0,728018776;NaN;0,533092597;0,819292812;0,633339471;0,876659969;0,259806001;0,531546276;0,402443825
0,209667343;NaN;0,674014845;0,269884656;0,395083567;0,523892474;0,215580809;0,227770008;0,70859054;NaN;0,51111416;0,746180212;0,640823723;0,857267602;0,262271359;0,51908387;0,398587247
0,213634415;NaN;0,643211994;0,256856063;0,393314503;0,52130076;0,225303752;0,216105037;0,712448086;NaN;0,502719305;0,752764696;0,627557406;0,810061418;0,264234765;0,509765332;0,393574671
0,215923921;NaN;0,622665932;0,25141798;0,382087167;0,519605294;0,224952019;0,215726002;0,735632399;NaN;0,491357015;0,695594523;0,619810938;0,804387944;0,259303476;0,483025591;0,380573071
0,244318861;NaN;0,619545853;0,267841352;0,415097426;0,512221395;0,223729997;0,22083393;0,745709911;NaN;0,499783934;0,663296321;0,63576953;0,806319851;0,287265563;0,50353436;0,394541963
0,238019404;0,158619582;0,61627411;0,295154821;0,406365722;0,50270539;0,220648071;0,21808338;0,74004441;NaN;0,465978439;0,659148746;0,623123433;0,811398411;0,272693383;0,500955707;0,377367297
0,249081266;0,152864833;0,582705201;0,367385094;0,372031634;0,421555467;0,237453785;0,268595482;0,508678865;NaN;0,410985818;0,27466177;0,558734855;0,831793094;0,287516275;0,551649614;0,373729383
0,255381435;0,140368493;0,5793533;0,357828318;0,365429151;0,423020843;0,256495096;0,270303911;0,557822442;NaN;0,421081143;0,26891666;0,535607579;0,816036318;0,292166509;0,546414559;0,377317999
0,245286287;0,159057687;0,562684651;0,338717222;0,339802766;0,402190758;0,249030926;0,263964527;0,538502496;NaN;0,397959876;0,27042812;0,517076099;0,790526893;0,282675385;0,531765146;0,360542319
0,254666412;0,174946574;0,552572823;NaN;0,345557596;0,414018042;0,250560125;0,274718212;0,572859011;NaN;0,405908158;0,269378885;0,524310512;0,796519704;0,288386745;0,519556904;0,356731975
0,23683796;0,160705301;0,564551217;0,357878583;0,331038787;0,403616293;0,235966775;0,268169184;0,494093254;NaN;0,401637536;0,24719426;0,51420189;0,798608333;0,276724918;0,541767504;0,347677003
0,238095712;0,162903181;0,599249964;0,347992346;0,332345741;0,399176328;0,228725493;0,256497026;0,492891325;NaN;0,396041774;0,24991174;0,506806576;0,845934943;0,271946982;0,561354886;0,359110869
0,235270532;0,184555967;0,596762246;0,33428776;0,325950577;0,391624763;0,226320009;0,258504116;0,467739064;NaN;0,377638217;0,236215042;0,48928239;0,82884266;0,291451682;0,549135641;0,359447253
